feature1,feature2,feature3,feature4,label
192,168,107,72,1
130,73,140,152,0
192,168,77,129,1
58,140,55,84,0
172,26,187,95,1
112,158,204,158,0
172,30,126,194,1
159,220,63,240,0
192,168,192,112,1
255,214,11,107,0
10,253,55,58,1
138,177,205,26,0
192,168,198,154,1
181,51,221,70,0
10,173,175,247,1
7,107,44,198,0
10,102,140,86,1
177,15,116,237,0
172,22,49,31,1
36,121,252,78,0
172,18,158,170,1
191,161,45,190,0
10,216,113,39,1
63,252,109,189,0
10,182,54,237,1
206,192,106,145,0
172,17,190,80,1
191,246,182,188,0
172,21,75,5,1
165,173,195,70,0
10,3,185,248,1
237,91,180,243,0
10,155,167,110,1
167,98,49,205,0
172,19,181,110,1
175,109,193,252,0
172,30,247,213,1
96,192,163,14,0
10,40,161,102,1
176,117,96,255,0
192,168,53,208,1
23,31,51,175,0
10,186,94,38,1
27,22,72,247,0
172,20,137,18,1
170,188,217,17,0
172,16,151,121,1
55,131,60,192,0
172,28,70,207,1
91,241,201,133,0
172,20,179,1,1
224,102,99,14,0
192,168,160,44,1
224,150,167,182,0
172,27,168,15,1
136,108,181,176,0
10,191,84,83,1
249,88,156,110,0
172,18,118,228,1
201,89,220,99,0
172,20,71,38,1
136,120,78,170,0
10,81,64,37,1
26,118,233,91,0
192,168,180,58,1
191,78,10,89,0
10,255,201,118,1
155,204,153,154,0
10,67,234,15,1
164,55,110,236,0
10,244,47,173,1
110,247,109,43,0
192,168,55,166,1
18,45,100,101,0
10,146,137,31,1
104,72,127,97,0
10,62,35,69,1
116,65,166,179,0
192,168,70,62,1
119,81,187,220,0
172,26,117,80,1
150,178,149,233,0
192,168,197,9,1
63,152,22,137,0
172,31,185,52,1
211,121,60,188,0
10,239,206,103,1
128,153,1,142,0
192,168,120,75,1
16,110,215,35,0
10,36,147,128,1
66,207,44,82,0
10,70,174,255,1
21,46,48,235,0
10,185,220,151,1
241,10,3,1,0
10,32,185,121,1
110,236,128,34,0
172,21,118,9,1
243,145,226,171,0
192,168,175,144,1
241,114,178,71,0
10,42,96,216,1
41,99,88,94,0
10,224,60,48,1
35,117,162,6,0
192,168,219,141,1
69,196,191,14,0
172,25,144,147,1
180,191,203,248,0
172,18,228,61,1
181,171,19,26,0
172,24,76,130,1
198,102,150,103,0
10,145,136,36,1
111,212,134,135,0
10,193,184,231,1
98,86,134,127,0
10,66,55,149,1
165,191,75,27,0
10,115,51,224,1
68,189,99,98,0
192,168,12,176,1
236,42,130,67,0
192,168,218,25,1
208,218,69,99,0
10,33,219,102,1
149,239,182,108,0
192,168,10,58,1
165,92,76,65,0
192,168,173,26,1
116,124,77,62,0
192,168,119,141,1
245,47,250,80,0
172,22,200,207,1
190,196,144,147,0
172,21,83,181,1
70,209,63,239,0
172,26,218,217,1
76,152,53,106,0
172,17,77,115,1
165,249,52,104,0
10,221,243,183,1
248,207,159,18,0
10,133,178,182,1
131,221,188,19,0
10,196,78,115,1
174,190,19,163,0
192,168,77,148,1
233,70,68,193,0
192,168,248,32,1
88,79,207,170,0
192,168,162,240,1
78,102,62,214,0
10,41,215,50,1
143,115,49,203,0
10,138,135,169,1
222,79,106,81,0
10,98,182,13,1
183,159,14,41,0
192,168,234,222,1
116,66,124,45,0
10,14,196,153,1
168,158,56,34,0
172,18,16,203,1
177,34,26,222,0
10,79,70,214,1
25,100,93,173,0
10,104,29,74,1
75,113,194,19,0
172,28,151,36,1
7,160,204,246,0
192,168,114,174,1
147,175,154,83,0
10,160,254,144,1
253,242,155,19,0
192,168,211,175,1
27,64,0,138,0
10,52,249,187,1
233,234,53,65,0
172,28,52,249,1
148,179,201,109,0
172,24,246,239,1
16,80,146,241,0
192,168,83,153,1
187,43,78,30,0
192,168,49,241,1
62,94,83,23,0
192,168,62,160,1
128,189,25,26,0
172,23,204,234,1
14,120,56,228,0
10,238,203,103,1
177,171,23,211,0
10,29,50,196,1
220,19,28,135,0
172,31,102,126,1
52,25,35,191,0
192,168,228,248,1
71,69,245,102,0
10,93,217,62,1
4,47,254,20,0
192,168,253,103,1
222,110,244,2,0
10,208,219,94,1
94,225,32,75,0
172,24,7,60,1
127,195,171,106,0
10,247,175,151,1
7,98,16,169,0
172,28,91,200,1
5,108,87,253,0
192,168,43,101,1
43,128,7,239,0
172,31,71,38,1
147,163,141,199,0
10,70,104,59,1
181,22,94,153,0
172,16,251,18,1
122,177,180,227,0
192,168,144,41,1
73,161,8,213,0
10,121,75,227,1
75,61,51,188,0
10,10,169,205,1
64,243,198,58,0
192,168,167,78,1
135,8,6,103,0
192,168,112,116,1
178,69,59,165,0
10,81,223,21,1
23,169,70,75,0
172,25,81,104,1
69,90,123,72,0
192,168,83,212,1
230,146,235,159,0
172,27,60,239,1
228,247,205,120,0
172,31,109,29,1
6,173,29,244,0
10,106,122,76,1
49,223,26,57,0
172,21,227,52,1
32,160,19,158,0
192,168,199,141,1
248,146,16,42,0
172,16,219,33,1
127,20,62,233,0
10,110,128,54,1
97,61,185,245,0
192,168,122,241,1
55,71,91,59,0
192,168,184,244,1
218,134,46,127,0
10,57,158,134,1
103,116,91,138,0
172,21,134,101,1
218,144,226,234,0
192,168,183,234,1
1,230,192,164,0
192,168,240,39,1
8,53,126,156,0
10,38,144,216,1
228,2,200,115,0
172,27,114,252,1
115,239,188,33,0
10,158,121,64,1
45,197,232,110,0
172,23,168,78,1
116,248,189,210,0
192,168,33,240,1
97,235,22,192,0
192,168,191,141,1
226,185,23,69,0
172,17,192,219,1
153,131,2,164,0
172,26,123,153,1
8,80,42,123,0
192,168,104,191,1
0,10,9,70,0
10,47,203,37,1
116,50,159,78,0
10,14,95,48,1
243,231,63,245,0
172,24,25,156,1
145,229,26,88,0
192,168,202,110,1
214,211,170,15,0
172,16,106,61,1
102,102,85,183,0
172,25,175,125,1
66,225,80,70,0
172,20,77,106,1
200,139,4,236,0
172,19,69,231,1
206,103,143,47,0
172,29,117,37,1
199,84,79,209,0
10,215,20,124,1
242,89,230,35,0
172,23,194,180,1
202,231,112,165,0
192,168,218,184,1
220,141,121,174,0
172,16,216,47,1
60,48,253,124,0
192,168,64,70,1
60,129,142,248,0
172,29,173,114,1
182,246,170,81,0
10,30,235,239,1
49,167,59,12,0
10,181,115,238,1
89,167,33,169,0
192,168,221,140,1
16,138,66,233,0
192,168,144,198,1
221,17,239,36,0
172,16,180,180,1
177,64,31,22,0
172,28,215,202,1
8,26,69,145,0
172,28,96,39,1
218,243,193,113,0
192,168,86,62,1
234,25,14,52,0
10,203,45,246,1
213,99,49,29,0
172,26,92,65,1
171,164,109,74,0
172,23,78,142,1
78,62,37,77,0
10,229,35,135,1
152,69,24,153,0
192,168,14,238,1
170,188,129,79,0
10,190,95,165,1
229,147,53,237,0
10,133,85,191,1
255,39,121,25,0
10,241,133,1,1
180,165,173,177,0
192,168,243,98,1
29,139,125,213,0
172,23,105,132,1
108,24,36,242,0
172,18,221,82,1
89,117,140,105,0
192,168,186,228,1
91,233,142,80,0
10,161,55,244,1
223,141,35,215,0
10,177,144,217,1
71,18,2,32,0
10,243,111,92,1
124,167,6,64,0
192,168,227,170,1
179,243,3,111,0
10,2,59,109,1
158,249,112,80,0
10,242,61,252,1
249,62,163,181,0
10,15,113,154,1
161,201,232,69,0
172,16,160,171,1
128,1,145,246,0
10,190,237,233,1
28,111,56,156,0
192,168,125,115,1
238,253,149,30,0
10,75,41,176,1
252,93,19,82,0
172,24,62,47,1
32,242,81,198,0
10,246,207,204,1
30,154,224,8,0
192,168,192,242,1
25,28,191,223,0
10,4,53,99,1
204,128,33,227,0
10,200,39,30,1
49,201,175,35,0
172,18,137,109,1
143,56,77,200,0
192,168,244,70,1
246,221,246,253,0
192,168,29,208,1
143,143,248,187,0
172,16,117,128,1
56,52,38,92,0
172,23,60,73,1
187,223,129,157,0
192,168,112,151,1
25,135,201,178,0
10,169,70,228,1
178,83,140,127,0
172,25,230,41,1
194,82,44,51,0
192,168,111,76,1
114,144,192,157,0
172,28,65,163,1
126,137,192,57,0
192,168,233,136,1
228,224,66,30,0
10,177,3,22,1
154,1,114,77,0
172,20,109,57,1
69,251,236,189,0
172,26,222,133,1
227,0,180,212,0
10,161,62,6,1
68,58,232,247,0
10,102,119,49,1
28,20,226,255,0
10,77,177,212,1
72,83,78,147,0
192,168,175,137,1
226,30,165,202,0
10,160,165,43,1
77,156,118,32,0
172,24,139,94,1
185,110,121,168,0
192,168,125,93,1
191,165,130,245,0
10,184,225,110,1
135,232,3,108,0
192,168,191,186,1
155,69,94,211,0
172,26,144,162,1
170,37,162,26,0
10,133,200,93,1
13,84,222,241,0
192,168,91,7,1
72,185,123,164,0
10,251,201,55,1
132,56,48,177,0
192,168,202,89,1
240,145,24,127,0
172,24,123,47,1
47,247,196,18,0
172,27,151,231,1
126,3,167,236,0
192,168,150,162,1
98,111,166,155,0
192,168,7,163,1
216,97,11,108,0
10,180,163,65,1
161,70,255,162,0
10,194,214,58,1
200,5,213,241,0
172,28,76,106,1
161,75,56,17,0
192,168,168,96,1
225,156,117,164,0
10,216,109,175,1
116,155,145,255,0
192,168,51,114,1
149,157,54,165,0
192,168,126,205,1
109,84,53,77,0
192,168,62,157,1
212,179,123,85,0
172,20,219,68,1
3,196,129,157,0
10,177,140,181,1
46,67,84,131,0
172,29,242,0,1
49,190,234,62,0
10,131,124,24,1
187,170,99,153,0
192,168,71,48,1
213,13,13,12,0
192,168,228,240,1
150,137,119,158,0
172,29,180,244,1
106,206,204,172,0
10,240,194,142,1
74,88,138,189,0
172,23,126,150,1
22,137,132,98,0
10,52,73,79,1
39,81,230,7,0
192,168,96,115,1
251,13,159,75,0
192,168,248,183,1
186,112,144,27,0
172,22,106,210,1
250,23,252,71,0
172,26,29,247,1
188,102,96,228,0
172,22,137,50,1
161,173,180,149,0
10,58,135,241,1
26,184,170,116,0
192,168,249,99,1
231,164,51,158,0
172,17,1,48,1
92,6,39,17,0
172,26,20,221,1
142,54,126,141,0
192,168,236,76,1
207,254,83,227,0
172,19,75,219,1
94,118,133,31,0
192,168,250,247,1
77,93,201,183,0
192,168,134,168,1
222,249,172,28,0
192,168,0,129,1
40,61,81,160,0
10,25,117,89,1
151,120,240,7,0
10,215,138,135,1
20,140,93,251,0
172,30,50,151,1
193,31,30,207,0
172,25,233,131,1
144,215,69,192,0
192,168,115,250,1
28,17,232,62,0
10,143,44,159,1
159,186,118,222,0
192,168,179,22,1
218,191,39,163,0
192,168,216,245,1
92,12,158,139,0
172,28,238,195,1
249,78,244,196,0
192,168,101,139,1
251,241,51,56,0
10,53,134,130,1
27,49,160,115,0
192,168,74,209,1
240,88,14,55,0
172,19,224,22,1
104,155,111,62,0
172,30,244,238,1
144,153,52,52,0
192,168,128,162,1
162,56,103,145,0
10,168,55,248,1
214,160,63,87,0
192,168,223,211,1
175,140,188,205,0
10,82,188,212,1
22,244,93,115,0
172,16,185,50,1
90,39,135,47,0
192,168,59,151,1
4,54,251,160,0
172,22,241,59,1
9,14,130,181,0
192,168,175,247,1
115,95,5,233,0
192,168,12,99,1
143,107,167,35,0
192,168,43,91,1
128,115,197,23,0
172,19,47,22,1
138,191,106,67,0
192,168,133,75,1
101,30,15,99,0
172,22,68,74,1
2,232,149,93,0
172,31,145,229,1
64,183,182,84,0
172,30,233,88,1
18,82,39,251,0
172,24,232,211,1
144,40,182,25,0
192,168,120,142,1
96,160,16,126,0
172,29,166,17,1
45,46,214,153,0
10,188,80,118,1
14,138,72,143,0
10,81,13,79,1
85,106,155,176,0
172,25,201,195,1
202,169,143,92,0
192,168,95,140,1
131,60,194,42,0
10,24,218,155,1
155,196,240,77,0
172,22,76,225,1
205,245,130,210,0
192,168,238,232,1
58,106,179,98,0
172,17,183,195,1
73,61,97,249,0
192,168,214,18,1
201,86,162,61,0
172,30,188,3,1
178,66,191,71,0
10,126,55,152,1
210,28,241,62,0
172,24,242,69,1
8,228,155,232,0
172,17,50,235,1
54,114,215,23,0
172,21,181,46,1
83,73,251,1,0
172,19,148,147,1
104,201,183,90,0
10,197,148,123,1
102,191,156,237,0
172,18,44,140,1
58,176,203,222,0
10,246,96,194,1
195,163,58,118,0
172,28,60,211,1
205,127,27,168,0
172,25,198,158,1
241,227,106,159,0
10,132,0,153,1
20,36,99,242,0
192,168,5,98,1
60,121,84,243,0
192,168,198,112,1
90,130,21,247,0
192,168,108,246,1
168,23,89,222,0
10,56,136,41,1
152,8,249,119,0
10,55,165,80,1
225,102,222,224,0
10,171,19,97,1
26,13,57,221,0
172,31,16,116,1
126,72,33,197,0
192,168,253,193,1
67,17,15,36,0
172,27,149,63,1
95,245,147,166,0
10,108,180,234,1
82,230,67,112,0
172,27,37,43,1
207,103,211,216,0
10,255,153,102,1
131,46,252,242,0
10,2,15,158,1
91,225,243,226,0
172,21,181,176,1
40,105,49,211,0
10,123,171,219,1
170,253,25,124,0
192,168,255,50,1
201,114,45,189,0
10,208,30,162,1
103,60,175,1,0
10,68,243,46,1
15,46,89,58,0
172,20,148,36,1
219,221,183,75,0
172,17,213,3,1
177,104,8,248,0
192,168,164,87,1
122,185,100,41,0
172,17,75,95,1
66,119,39,11,0
172,19,67,190,1
62,144,66,52,0
172,20,168,34,1
229,224,60,128,0
10,186,99,196,1
79,81,77,95,0
172,25,23,255,1
72,254,126,82,0
192,168,59,128,1
143,181,23,236,0
172,25,29,161,1
41,38,115,119,0
172,24,242,8,1
144,79,27,191,0
10,72,3,224,1
70,129,243,10,0
10,69,9,66,1
204,88,237,74,0
172,24,186,149,1
29,149,127,90,0
10,224,50,223,1
92,230,64,107,0
192,168,90,230,1
236,119,169,145,0
10,205,247,125,1
244,147,127,210,0
10,139,166,76,1
0,174,45,200,0
192,168,196,142,1
169,214,250,82,0
172,22,248,68,1
98,211,123,231,0
10,26,208,101,1
92,7,181,42,0
192,168,209,174,1
134,46,102,79,0
10,19,242,242,1
228,219,112,107,0
192,168,32,134,1
200,8,152,143,0
172,19,107,18,1
122,65,76,109,0
10,152,70,189,1
33,196,141,215,0
192,168,251,214,1
57,64,29,141,0
192,168,246,33,1
30,50,69,8,0
192,168,23,115,1
67,69,23,219,0
10,246,243,140,1
86,15,242,115,0
192,168,26,57,1
218,71,206,254,0
192,168,214,92,1
249,219,177,78,0
10,237,193,97,1
195,45,255,64,0
192,168,152,244,1
11,187,248,25,0
10,33,68,115,1
224,68,225,244,0
172,22,209,24,1
91,156,205,241,0
10,38,154,68,1
23,183,80,8,0
172,22,186,67,1
210,57,255,21,0
10,79,226,147,1
1,90,30,208,0
10,194,24,197,1
97,85,23,96,0
172,20,146,215,1
173,103,163,99,0
172,31,148,10,1
132,118,30,139,0
192,168,248,157,1
228,228,167,110,0
10,57,57,174,1
169,182,171,79,0
10,217,227,227,1
193,150,25,212,0
172,20,69,97,1
8,152,102,174,0
10,152,218,163,1
199,6,143,69,0
192,168,164,88,1
148,238,43,240,0
192,168,148,201,1
45,44,131,71,0
10,176,71,36,1
161,225,21,164,0
172,17,244,235,1
73,126,216,31,0
10,221,231,212,1
220,214,42,51,0
10,28,101,94,1
0,190,159,169,0
172,28,160,18,1
201,119,27,17,0
192,168,254,56,1
105,209,85,57,0
192,168,57,148,1
41,69,251,61,0
172,20,100,197,1
49,191,19,194,0
172,23,245,114,1
232,230,237,20,0
172,24,166,39,1
23,111,143,20,0
172,19,156,109,1
179,58,87,111,0
192,168,19,141,1
214,103,11,200,0
172,17,124,239,1
31,171,71,180,0
10,50,222,221,1
200,68,183,189,0
172,24,221,15,1
65,46,184,104,0
10,170,77,169,1
0,233,12,100,0
172,29,78,31,1
24,57,131,83,0
172,24,143,222,1
171,118,186,173,0
192,168,33,98,1
176,217,81,13,0
10,193,167,190,1
124,233,6,133,0
172,21,86,146,1
198,48,156,233,0
192,168,122,146,1
191,211,80,47,0
10,28,2,1,1
213,40,106,5,0
10,226,144,202,1
156,141,126,181,0
172,24,172,145,1
239,9,74,135,0
192,168,36,132,1
30,248,197,121,0
172,19,194,67,1
229,21,12,45,0
172,18,190,150,1
228,221,175,14,0
10,51,103,141,1
170,228,77,237,0
10,0,114,103,1
145,79,195,142,0
10,227,31,71,1
167,20,130,100,0
10,143,226,52,1
139,188,137,135,0
10,156,39,214,1
239,90,217,143,0
10,96,191,255,1
7,217,128,174,0
10,231,21,163,1
94,169,243,201,0
172,16,144,1,1
253,245,152,163,0
172,23,95,253,1
108,216,110,140,0
10,236,14,233,1
65,243,120,246,0
172,31,251,76,1
209,37,7,144,0
10,92,227,219,1
244,239,144,103,0
10,162,153,77,1
226,69,55,180,0
172,17,185,45,1
204,192,26,52,0
10,23,18,10,1
198,28,190,246,0
172,31,10,255,1
231,116,192,158,0
172,30,111,158,1
180,120,111,123,0
172,22,26,169,1
203,206,160,6,0
172,21,52,196,1
32,239,142,199,0
10,187,92,218,1
29,122,20,117,0
172,22,63,163,1
249,70,172,247,0
10,231,160,45,1
93,131,223,195,0
10,172,141,74,1
190,172,177,101,0
192,168,31,46,1
216,17,12,51,0
10,49,122,44,1
90,12,154,125,0
10,113,140,15,1
54,91,129,144,0
10,253,152,60,1
199,85,160,119,0
10,186,154,46,1
74,175,18,30,0
192,168,149,101,1
2,235,88,31,0
10,40,239,141,1
30,242,246,27,0
192,168,132,240,1
164,186,191,125,0
172,22,173,71,1
235,94,146,7,0
10,180,5,73,1
6,102,96,229,0
10,99,183,124,1
80,233,244,241,0
10,160,155,197,1
19,133,214,1,0
10,173,172,101,1
55,93,6,24,0
10,168,155,190,1
189,138,254,202,0
172,27,35,243,1
142,23,135,176,0
172,31,146,139,1
180,246,193,137,0
172,27,102,131,1
158,228,179,17,0
172,24,244,168,1
250,241,81,250,0
10,134,83,7,1
129,167,67,156,0
192,168,245,59,1
231,34,115,33,0
10,80,88,64,1
243,50,253,14,0
192,168,43,184,1
32,129,2,145,0
172,19,182,121,1
28,180,240,193,0
172,16,111,122,1
20,242,228,248,0
192,168,65,163,1
75,125,119,1,0
172,19,255,210,1
241,5,212,114,0
192,168,161,121,1
139,116,163,222,0
172,26,77,221,1
142,125,158,76,0
192,168,229,202,1
31,189,75,81,0
10,167,229,110,1
26,255,3,165,0
192,168,240,115,1
250,125,120,212,0
192,168,70,188,1
212,204,59,35,0
192,168,78,79,1
1,135,120,2,0
192,168,245,67,1
67,239,112,28,0
172,30,16,218,1
248,166,120,93,0
192,168,215,132,1
88,209,107,193,0
192,168,255,220,1
81,95,120,197,0
172,29,149,94,1
70,22,234,85,0
192,168,167,211,1
230,227,153,252,0
192,168,163,253,1
6,46,44,205,0
10,52,213,44,1
5,25,42,31,0
10,183,4,189,1
147,168,217,194,0
172,21,172,64,1
143,128,198,208,0
172,27,51,113,1
9,170,39,50,0
192,168,128,2,1
127,171,18,140,0
10,13,215,107,1
250,224,152,244,0
172,30,135,255,1
175,118,148,116,0
192,168,13,161,1
24,114,62,197,0
10,154,213,185,1
26,16,215,212,0
192,168,131,218,1
23,211,161,126,0
192,168,232,204,1
97,164,133,7,0
192,168,73,191,1
253,200,170,236,0
10,85,237,221,1
241,126,89,173,0
10,133,151,145,1
104,48,134,61,0
10,205,39,217,1
17,215,216,232,0
192,168,123,93,1
15,245,19,142,0
192,168,229,216,1
165,169,240,234,0
10,192,245,153,1
107,18,38,10,0
192,168,240,248,1
218,93,184,57,0
172,24,176,170,1
30,119,123,205,0
10,250,165,73,1
37,35,144,230,0
192,168,182,17,1
